# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1764931404019000000,1764931410216000000,4967020196
NonBlockingReadAction.failedExecutionTimeUs,1764931404019000000,1764931410216000000,0
NonBlockingReadAction.failedExecutionsCount,1764931404019000000,1764931410216000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1764931404019000000,1764931410216000000,187477
NonBlockingReadAction.finalizedExecutionsCount,1764931404019000000,1764931410216000000,15
workspaceModel.check.recursive.update.ms,1764931404019000000,1764931410216000000,0
workspaceModel.loading.total.ms,1764931404019000000,1764931410216000000,12
workspaceModel.initializing.ms,1764931404019000000,1764931410216000000,0
workspaceModel.updates.ms,1764931404019000000,1764931410216000000,0
workspaceModel.collect.changes.ms,1764931404019000000,1764931410216000000,0
workspaceModel.pre.handlers.ms,1764931404019000000,1764931410216000000,0
workspaceModel.updates.precise.ms,1764931404019000000,1764931410216000000,0
workspaceModel.init.bridges.ms,1764931404019000000,1764931410216000000,0
workspaceModel.updates.count,1764931404019000000,1764931410216000000,0
workspaceModel.replace.project.model.ms,1764931404019000000,1764931410216000000,0
workspaceModel.update.unloaded.entities.ms,1764931404019000000,1764931410216000000,0
workspaceModel.loading.from.cache.ms,1764931404019000000,1764931410216000000,7
workspaceModel.to.snapshot.ms,1764931404019000000,1764931410216000000,0
FileNameCache.fastMisses,1764931404019000000,1764931410216000000,12
FileNameCache.totalMisses,1764931404019000000,1764931410216000000,12
FileNameCache.queries,1764931404019000000,1764931410216000000,246
DirectByteBufferAllocator.reclaimed,1764931404019000000,1764931410216000000,46
FilePageCache.pageHits,1764931404019000000,1764931410216000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1764931404019000000,1764931410216000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764931404019000000,1764931410216000000,52445184
FilePageCache.totalPageDisposalsUs,1764931404019000000,1764931410216000000,691
FilePageCache.uncachedFileAccess,1764931404019000000,1764931410216000000,361
DirectByteBufferAllocator.hits,1764931404019000000,1764931410216000000,3
FilePageCache.pageLoads,1764931404019000000,1764931410216000000,229
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764931404019000000,1764931410216000000,52445184
FilePageCache.pageFastCacheHits,1764931404019000000,1764931410216000000,15655
StorageLockContext.competingThreads.max,1764931404019000000,1764931410216000000,0
FilePageCache.capacityInBytes,1764931404019000000,1764931410216000000,524288000
DirectByteBufferAllocator.disposed,1764931404019000000,1764931410216000000,183
StorageLockContext.competingThreads.avg,1764931404019000000,1764931410216000000,0.0
FilePageCache.disposedBuffers,1764931404019000000,1764931410216000000,229
FilePageCache.maxRegisteredFiles,1764931404019000000,1764931410216000000,834
StorageLockContext.competingThreads.90P,1764931404019000000,1764931410216000000,0
FilePageCache.totalPageLoadsUs,1764931404019000000,1764931410216000000,98158
DirectByteBufferAllocator.misses,1764931404019000000,1764931410216000000,226
FilePageCache.maxCacheSizeInBytes,1764931404019000000,1764931410216000000,244334592
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1764931404019000000,1764931410216000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.entities.ms,1764931404019000000,1764931410216000000,0
workspaceModel.load.cache.from.file.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764931404019000000,1764931410216000000,0
workspaceModel.save.cache.to.file.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1764931404019000000,1764931410216000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1764931404019000000,1764931410216000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764931404019000000,1764931410216000000,0
